x;y
152.1741;427.2588
130.6251;377.787
108.2624;349.1973
99.00081;330.00059
153.9915;406.9883
99.00071;330.00012
99.0008;330.0006
131.5388;375.7737
113.0002;591.9993
135.9486;472.5985
147.622;398.3667
